review_comment_message,feeling
produto bonito entregue bem valado dentro prazo recomendo,2
bom,2
faltou produto recebi veio quebrado,0
chegou dentro prazo produto excelente qualidade acabou dores costas dormindo bem,2
aqui descrevendo entregue ate agora recebi,0
acho rastreando produto devia melhor preciso geral ótima experiência,2
ainda oportunidade testar,2
comecei usar agora,1
nada declarar,2
comprar produto correto capa interno outro,1
entrega super rapida,1
fiz pedido garrafas azeite chegaram dia outras quase horas contato loja dificil tanto via mail qto telef suspense terminou lá compro,1
produto chegou rapido boa qualidade recomendo produto,2
posso aguardando chegada produto comprei logo aconteça opinião formada,0
comprei dois produtos recebi somente mandei dois emails loja nenhum retorno insatisfeita,0
recomendaria loja pretendo voltar comprar nela mercadoria entregue após prazo quase mês após compra site lannister costumam chegar antes prazo estranhei,1
recomendo,2
atendeu expectativa,2
entrega antes prazo produto prático fácil manuseio,2
otimo produto nao veio manual problema,2
peças encaixava diâmetro diferente serrar martelar poder caber encaixar resto tudo ok,2
excelente produto,2
tudo certo,2
demora entrega detestei atendimento nunca compro baratheon vendia mesmos bem melhor,0
produto bom,2
produto chegou segundo rastreio parado ribeirão preto sp,0
produto deu defeito vez uso,0
super recomendo produto profissional qualidad,2
agora recebi produto,0
loja anuncia produto entrega outro,0
bom rapido vi ja chegado,2
produto chegou bem,2
otimo,2
apesar ter sido entregue rapidamente substituíram caixa meteoro caixa borne tentei reclamar lannister sistema estaav ar guitarra acessórios correto,1
satisfeito,2
parabéns loja revendedor apesar ter demorado pouco,2
entregue dentro prazo bom período validad,2
jogo toalhas lindo bonito foto amei,2
produto entregue umas alças problemas faltando pino fixação,0
marcado dia entrega pedido rastreamento marcava produto havia sido entregue data realidade entregue produto entregue dia,0
loja além frete caro produto leva quase dias úteis chegar casa,0
recebi bem rápido porém veio outro produto pedi modelo veio diferente cor veio capinha zíper enfim recomendo,0
sempre comprei stark satisfeito,2
fiz compra tabela graças deus deu tudo certo fico grato pode confiar,2
cancelaram compra dia antes entrega liguei lannister atendentes sabiam acontecendo bagunça agora esperando ver vai cobrado,0
produto qualidade eficiência entrega recebi antes combinado recomendo,2
produto bom veio dentro prazo chegou dias parabén,2
tudo ok baratheon sempre responsável entrega,2
acabento foto bonito chegou sintetico feio acabento todo borrado orrivel nao gostei,0
desordenado comprei três produtos veio dia sertões veio separado data separada,0
,2
entrega rapida,2
bom,2
mercadoria certa entregue prazo combinado grata,2
ruim,0
passou dias previsto,0
fazer compra kit entendi receberia frascos cápsulas cada frascos cápsulas total vou devolver porque precisando produto,1
entrega bem antes prazo perfeito,2
cada vez compro fico satisfeita parabéns honestidade client,2
bem rapido entrega bom comprar vc,2
produto recomendo ler nenhum dispositivo,0
entrega super rápida parabén,2
tudo rápido eficient,2
creme maravilhoso entrega super rápida,2
tentando cancelar produto desde antes emissão nota fiscal avisada correio nenhuma resposta cancelamento nao consigo devolv,0
chegou hoje comentário,2
boa noite lamentável loja tantas compras ja fiz hoje satisfação sequer relógio importância reais produto defeito agora deu retor,0
bom esperava,2
capa protetora exatamente esperava deixa desejar tipo material qualidad,0
site produto parece ter melhor qualidade material acabamento,1
recebi produto corretamente dentro prazo verificando caixa tudo correto ainda montei produto lindo cor perfeita amamos super recomendo,2
embalagem deixou desejar pouco produto danificado caixa toda amassada,1
parabéns produto entregue bem antes prazo atendeu necessidad,2
recomendo,2
faltaram cabos manu,1
ótimo chegou bem antes prazo,2
entregue prazo produto bom,2
produto embalado apenas papel pardo sobre embalagem enviado correios lógico embalagem chegou amassada deus sabe produto funcionando ainda testei,0
acho deveriam mandar sedex invés pac,2
última vez compro pois hoje vai fazer mês fiz comprar nada demorar tempo entregar estarei procurando direitos contra lojas lannister targaryen,0
lindo faltou instruções troca pulseira,2
produto exatamente conforme descrito chegou bem antes prazo,2
produto chegou bem antes prazo estipulado amei atendimento super recomendo,2
gostei produto material péssima qualidad,0
dois produtos comprados entregue apena,0
nao compro lannister parceiro lannister targaryen jamais uso novamente ler dessa empresa saio correndo absurdo quase mês entregar extra ok,0
recebi corretamente produto,1
recebi produto dentro prazo informado ainda utilizei,2
pedido chegou antes combinado bom,2
produto entregue conforme anunciado,2
recebe apenas peça produto precisando peças restant,1
loja,2
violão comprei lindo porém cor adesivo confere foto ato compra aprovei,2
fizeram nota fisc,0
chegou antes prazo produto excelent,2
trabalho profissionalismo lojas lannister indico certeza,2
mp player funciona trocando pilha diversas vezes devolv,0
super recomendo produto bom,2
pré treino bom melhores mercado melhor,2
loja postou produto mediato correio demorou pouco,2
sempre compro stark sempre bem atendido site eficiente produtos ótima qualidade recomendo todos podem comprar olhos fechado,2
bom desde compra entrega td direitinho rapido,2
tudo ok,2
targaryen confiança entregou compra colocou rastreamento pedido entregue dia empresa falsa quero receber produtos pagos boleto bancari,0
entrega qualidade produto acordo esperado,2
excelente recomendo,2
bolsa bonita dentro forro bem fragil,1
instalei cartucho tinta impressora indicou vazio apresentou mensagem erro cima marcador nível tinta solicitei troca,0
bom recomendo produto,2
quanto site questionar sempre cumprem super combinado recomendo sempre produto fraco,2
bom todos aspecto,2
hoje satisfeito sbmarino,2
entregue duas capas couro compradas apenas aguardo devolução dinheiro entrega segunda capa,0
gostei,2
fiquei feliz tecido acho faltou lençol cima ficar completo espero logo lancem,1
chegou antes prazo cabeceira linda,2
alguma confusão vendedor stark pois recebi email stark pedindo cancelamento produto algum imprevisto entrega neguei recebi produto dia,1
,2
gostei produto chegou tempo certo vendedores parabén,2
atendimento excelent,2
gostei,2
dia maio usei alça quebrou peso,0
toalha maior campeão brasil maravilhosa,2
entrega realizado antes previsto bom produto satisfeita,2
agora tudo bem esperando entrega produto,2
compra ocorreu esperado desde pedido recebimento produto tudo bem certinho,2
produto entregue antes prazo,2
gostei produto exatamente boque esperava entrega dentro prazo parabéns recomendo loja,2
comprei produto cor preta chegou cor vermelha,0
segunda vez compro nesta loja super eficiente entrega rápida antes prazo contratado produto bem embalado nota obrigado,2
otimo,2
pensei mochila material resistent,0
comprei produto veio outro mandei msg informando erro porém obtive resposta obrigado,0
produto demora muita chegar,0
so recebemos relogio correio att,1
entrega rápida produto conforme esperado,2
tudo anunciado ótimo produto,2
produto boa qualidade exatamente conforme anunciado preço baixo atrativo,1
somente entregue unidade invés dua,0
adorei produto recebi antes prazo combinado ficou bonito,2
satisfeito,2
otimo produto porem caro demai,2
produtos otimos entrega rápida super recomendo,2
recebi sim defeito encaixes sao dois igual nao fecham,0
ainda recebi,0
pós venda excelente através sr renato,2
gostei produto entrega veio antes prazo recomendo fica bem encaixado celular tira elegância aparelho outras capas deixam monstruoso tamanho,2
bom,2
agora nao recebi comprei aparelho questao saude portanto nao recomendo loja,0
recomendo todos produto ótima qualidade entregue problema,2
produto chegou dentro prazo veio conforme descrição excelent,2
produto chegou antes prazo gostei bastante agora rapazinho aninhos vai aproveitar maximo,2
gostaria saber chegará produto pois passou data prevista entrega gostaria resposta aguardando,0
loja nota,2
parabéns recebi antes prazo tudo correto combinado,2
produto entregue difere pedido trata produto inferior gostaria solucionado problema satisfeito procedimento,0
bom,2
comprei produto paguei boleto recebi metade produto anunciaram coisa mandaram outra insatisfeita,0
entrega antes prazo produto bem conservado,2
produto ótima qualidade adorei,2
apesar demora expedir nota fiscal expedida entrega rápida produto veio bem embalado recomendo,2
comprei produto dia inicio março recebi prazo abrindo protocolo resolverem situação,0
recebi produto assim nenhum contato parte vendedor,0
ratrear conseguindo,0
nota,2
esperando instalador,1
comprei produto entregue loja ainda recebi pois assim passou data entrega,0
ótimo serviço,2
ótima compra ótimo produto senti falta algum comunicado compra chegada produto contato valeu,2
veio conforme pedido pós venda respondeu nenhuma pergunta,0
comprei duas mochilas recebi apenas natal chegando agora nada,0
perfeito,2
preço ótimo prazo entrega longo mês entregar comprei cartuchos entregaram apenas reclamei enviaram outro ainda dentro prazo entrega,1
prazo estendido porém entregue prazo divulgado propaganda cadeira conforme foto vem montar fácil linda,2
simplesmente lindo adorei produto tamanho perfeito comprei várias produtos faz anos compro baratheon,2
bom chegou dentro prazo,2
otimo preço entregou antes prazo produto ótima qualidad,2
comprei relogio presente natal filho ate agora nao chegou enviei mensagens ultima conversa relogio chegaria ontem porem nao recebi nada,0
poderia entregar rápido fim ano,2
otima venda tudo perfeito,2
produto ótima qualidade chegou antes tempo esperado amei,2
veio bem embalado envio rápido,2
satisfeita compra recebimento produto dentro prazo,2
agora recebi nada colcha prevista anteontem agora nada,1
pincéis vieram amassados condiz algumas fotos condiz descrição fracos cabem case veio descolado,0
produto correspondente expectativas entregue antes prazo estabelecido,2
indico loja compro sempre lannist,2
produto veio diferente mostra foto luxo acolchoado dizia,0
tudo normal compra internet obrigado,2
boa compra,2
produto chegou dentro prazo atende custo benefício porém bolsa forrada alça plástico satisfeita,2
plenamente satisfeita aquisição recomendo única coisa concordo valor frete autíssimo,2
comprei enviaram,1
parece mantem bem alimento murchar batata palha tampa estranha parece fecha inox tampa feio,0
aguardando resposta hoje sobre produtos pagos ainda recebi iguais necessito falar pessoas máquina gravaçõ,0
entrega produto perfeito,2
parabéns excelente atendimento qualidad,2
produto entregue antecipadament,2
gostei comprar recebi produto antes prazo boa qualidade recomendo,2
super recomendo stark sempre chegando antes dta prevista d,2
correios entreg,2
entrega feita prazo produto perfeitas condicoes parabens equip,2
ainda recebi produto,1
gostaria receber produtos corretos tentei realizar troca devolução dinheiro cartão site lannister possibilita realizado,0
produto perfeito entrega rápida satisfeitíssima,2
produto veio defeito devolvi conforme informado postado correio conforme indicado hoje recebi nenhuma notificação empresa quanto devolução análise ter meuressarcimento,0
pedido chegou antes prazo obrigada,2
recebemos cartucho abrimos reclamação site ainda obtive resposta,0
produto alta qualidade descrição confere produto entregue tempo certo recomendo,2
tampo mesa chegou todo amassado batido,0
dentro prazo porém poderiam agilizar outro produto entregue dia,0
relógio lindo entrega rápida recomendo,2
adorei pequeno fácil usar arranha apela limpa pele recomendo,2
sempre excelente serviço,2
momento recebir produto,0
sempre lannister entrega certinho,2
produto perfeito chegou antes prazo,2
bom produto melhor esperava entregue prazo gostei bastant,2
bom produto preço cobrado,0
sdd,2
bom produto recomendo,2
entrega dentro prazo important,2
gostei objeto veio comprado comprei outras lojas veio outra cor ñ gostei lannister tudo ok,2
aparelho chegou apresentando defeito apresentando todas funções visor digit,1
produto medidas corretas indicadas oferta ligar vcs troca,0
aguardo retorno urgent,0
produto passou prazo entregar tento resolver problema empresa consigo falar ninguém tudo fazem passar reclamar sistema funciona,0
recebi produto consta recebi dois recebi sapateira,1
deram prazo grande entrega produto conseguiram entregar prazo,0
excelente produto indico qualquer pessoa,0
tudo certinho entrega prazo ótimo,2
recebi produto agora,0
chegou amassado,1
recomendo,2
comprei tapete borracha tr mitsubishi loja entregou tapete pvc horrivel titulo ta tapete borracha tr enganaram agora fazer sendo despesa devoluçao,0
ótimo perfume fragrância maravilhosa recomendo,2
boa rapida produto veio bom estado agora fazer test,2
produto superou expectativa prazo entrega antecipado dias instalei ficou show,2
entrega rapida,2
previsão entrega recebi excelent,2
solicitei devolução produto defeito,1
loja si boa pena americana nao suporte client,2
exatamente precisava,2
achei qualidade produto ruim veio nenhuma bucha parafuso fixar pared,1
obrigada chegou mto rápido,2
único problema marcação data marcação americana,2
acho produto deveria ter prazo validade maior,2
entrega antes prazo recomendo loja,2
show,2
boa noite lojas lannister ótimas adoro site hoje faço pouquíssima compra frete abusivo infelizmente compensa antes precisamos comprar obrigada,1
excelente produto bonito sofisticado,2
veio nota fisc,2
agradeço pois recebi produto correto conforme encontrado site entrega super rápida fiquei satisfeito certeza vou recomentar amigo,2
entrega rápida produto conforme anunciado,2
produto ainda entregue fiz reclamação agora nenhuma previsão entrega super insatisfeito quero dinheiro volta denunciar procon,0
cortina modelo pedi,0
impressão saindo tinta fraquinha,1
comprei rosa braços brancos entregam toda preta,0
preciso previsão,0
satisfeita chegou antes prazo super recomendo,2
produto chegou antes prazo estipulado atendeu plenamente expectativa,2
entrega dentro prazo produto nenhum problema,2
bom,2
boa qualidade preço,2
sempre entrega antes prazo,2
bom super recomendo entrega sempre certa,2
boas pessoal atendente lannister atenciosa porém loja deveria ter entregado produto cancelou comprar aconteceu,1
entregue antes prazo produto perfeito,2
recomendo todos problema nenhum mercadoria prazo ótimo,2
gostei ter comprado nesta loja atendimento perfeito,2
comprei cadeira recebi prazo porém cadeira veio quebrada parte inferior poderiam ter maior cuidado embalagem,1
sempre compro sempre recebo produto certo prazo antes prazo,2
entrega rapida,2
produto entregue bem antes prazo adorei,2
ainda nao instalei gostei,2
bom produto entrega rápida recomendo,2
produto recebido prazo perfeitas condiçõ,2
bom,2
recebi outra boneca quero devolver consigo contato jamais compraria novamente dessa loja,0
ótima compra frete nao compensa pesa orçamento devia ter frete gr,1
n,2
produto chegou imaginava enquanto gostando,2
ótima rápida entrega obrigado,2
penso deveria modo comunicar empresa caso acontecesse encomenda entregu,0
produto bom prazo bom,2
bom segundo objeto compro recebi problema nenhum,2
bonito boa qualidade adorei,2
produto chegou antes prazo,2
boa noite gostei pois nunca conseguimos falar vcs telefon,0
vendedor compromisso vou client,2
produto atendeu espectativas pois potinhos dificeis abrir fechar bandeja onde vai potinhos veio pontos ferrugem,1
satisfeito entrega super rápida show parabéns vacilei comprei celular casas bahia quase mês entregaram,2
ótimo,2
tudo cento prazo recomento,2
recebi jogo cor tabaco vermelho,0
nao entregue casa nao gostei nao tempo indo correio,0
compra perfeita,2
produto veio estragado,0
mercadoria entregue paguei primeira fatura quero cancelar compra pois paguei frete recebi mercadoria,0
produto ja chegou defeito fucionou conforme necessidade uso infelizmente ultima compra totalmente insatisfeito,0
recebi apenas caixa unidades pedi caixa,1
comprei dois pendentes chegou preciso sab,0
recomendo loja entrega direitinho,2
tudo conforme entrega rápida pena verifiquei cor pois preta precisava cinza outro ponto lixar pouco funcionar nada demai,2
entrega rapida correta,2
produto fácil montagem atende perfeitamente propósito otimizar espaço,2
produto veio amassados funcionando corretament,0
gostei produto,2
produto ótima qualidad,2
esperando vinte dias ainda recebi produto consigo nenhuma informação,0
aguardando posição empresa fazer devolução produto,0
fornecedor enviou produto correto solicitei sabor chocolate enviado outro sabor,0
recomendo loja,2
ótimo produto,2
excelent,2
continuem assim responsabilidade consumidor tanto produto quanto prazo entrega primeira vez compro vou comprar muitas obrigado,2
adorei moderno bonito cantinho café vai ficar top,2
bom esperava,2
tudo correu combinado nada reclamar,2
fácil manuseio presente atende expectativa,2
relógio lindo entrega antes prazo,2
veio conforme anunciado simples bonita,2
produto condiz anúncio,2
produto ainda cheg,0
satisfeito recomendo,2
amei chegou rapidinho ainda vou testa lo obrigado,2
gostei comprei vcs obrigada breve farei outras compras vanda,2
ainda recebi produto,0
recebi bolsa diferente gostei previsto pra janeiro achando tempo porque pra escola aguardando vale compra primeira compra bolsa deu certo,2
recebi produto queria antes prazo combinado bom recomendo certeza,2
propaganda escrito mixer elétrico veio portátil três quebrou queria elétrico devem especificar melhor produto,1
produto entregue antes prazo combinado primeira vez compro site lojas lannister recomendo tal empresa seriedade trato client,2
comprei produtos so mandaram n mim deram nenhuma justificativa,0
agradeço bom,2
,2
dentro previsto,2
recebi antes prazo estimado,2
imaginei maior boneca leg,2
problema entrega pois ninguém casa receber mercadoria horário passaram,0
atenciosos ligam dar acompanhamento bom prazo validade demorou chegar agora verificar qualidade produto,2
eficiente entregou bem rápido recomendo,2
lindo relógio,1
otimo produto entrega prazo,2
chegou antes data prazo porem vazou pouco produto,2
sempre compro itens chega perfeito estado,2
produto entregue antes prazo ótimo estado,2
bom,1
entrega super rápida produto ótima qualidade recomendo,2
produto lindo ótimo,2
excelent,2
esperava toalhas poderiam grossa,1
entrega dia antes previsto,2
demora pouco pra esquentar potência máxima atende bem rimeiros dias uso cheiro meio borracha queimada passa recomendo praticidade custo benefício,2
entregue bem embalado entrega rapido comforme prometido comforme imagem,2
tudo ocorreu forma eficient,2
produto chegou antes prazo perfeitas condiçõ,2
produto corresponde comprei película menor tela celular cobre toda tela,0
produto conforme anunciado veio antes prazo perfeito,2
produto bom entregue antes previsto,2
ainda usei nenhuma viagem parece boa,2
produto encaminhado cidade destino dia momento recebi,0
recomendo,2
produto entregu,0
simplesmente recebi produto nao posicionamento decente acontecerá,0
recebi braço ducha desviador somente ducha x braço cm,0
adoro comprar lojas lannist,2
entrega rápido produto excelent,2
ótimo,2
produto pode mal funcionamento telefone conseguindo fazer leitura,0
produto entregu,2
loja vergonha entregaram pedido descaração duerem cancelei porcaria vendedor stark escolheu mal paeceiro,0
bom,2
recebi produto eh falso quero dinheiro volta,2
produto veio conforme site mostrava calendário site recebi veio difícil fazer troca estorno produto,0
produto bom entrega antes prazo,2
bom,2
gostei,2
comprei dois produtos sendo chegou cabo adaptador áudio,0
gostei chegou tudo certinho antes prazo entrega,2
produto entregue dentro prazo,2
fornecedor targaryen mandou massageador completamente diferente comprei preço inferior cheio avaliações negativas ninguém erra mandando superior né curioso recomendo,0
recebi produto prazo tudo ok,2
ruim veio produto outro veio errado,0
abri protocolo devolução produto baixa qualidade deu problema primeiro dia uso lannister virou mercado livre pedidos problema,0
entrega prazo descrito sit,2
lannister sempre superandoo,2
surpreendido eficácia ótimo atentimento,2
otimo atendimento tudo certo entregue dentro prazo,2
obrigada qualidade produto entrega tbm previsto chegou dia adorei parabén,2
mercadoria entregue ainda,0
ainda utilizei produto,2
recebi encomenda forma normal dentro prazo contudo recebi primeira data entrega estimada posterior data aumentando gostei dessa atitude demorou semana,0
pedi cancelacem antes nf emitida pq havia ganhado presente igual cancelaram mandaram assim msm pedi nf ainda sido emitida,0
linda deu charme sala,2
ótimo atendimento entrega antes prazo,2
recebi produto completo comprei quantidade recebi somente consta nota entrega quantidade volume quero receber outra custo nenhum pois erro,1
recomendo,2
bolsas lindas cor bem próxima foto dentro forro descrição acabamento deixou pouco desejar entrega super rápida,1
preciso urgente desta mercadoria prazo maximo dia agora cheg,0
otimo material bem resistente espaçosa gostei,2
ótimo serviço,2
prestação serviços alta qualidad,2
produto muita baixa qualidad,0
produto entregue bem embalado perfeitas condiçõ,2
demorou entreg,0
compra efetuada dois ursos rezam rosa azul recebi somente produtos adquiri rosa aguardando retorno vendedor sobre ocorreu vou receber outro,1
produto defeito apresenta risco confiável eviei mail efetuei ligações retorno,0
modo geral satisfatório gravação laser justamente laser deixa desejar quanto centralização pingente marca bem qualidade gravação,1
chegou antes data prevista recomendaria amigos loja stark parabén,2
tapete lindo chegou antes prazo,2
gostei,2
poderia ter agilizado entrega porém recebi produto ótimas condiçõ,2
protudo chegou ótimo estado conservação antes prazo,2
produto excelente qualidade entrega feita antes prazo previsto satisfeita,2
produto lindo preço excelente entrega super rápida ocorrendo antes prazo recomendo quarto ficou irado,2
produto veio nota fiscal solicitar telefon,1
produto bom,1
satisfeito recomendo,2
podem comprar medo,2
gosto comprar nessa loja porque agente ñ precisa avisar entrega,2
excelente produto,2
produto entregue prazo nota,2
descrição produto errada consegui usar produto pedi cancelamento fazem dias ainda obtive resposta,0
bom exelent,2
atendimento eficaz entrega dentro prazo,2
chegou pouco antes prazo bom,2
gostei demais travesseiro descrito sit,2
super recomendo entrega produtos ok,2
pontualidade satisfação client,0
satisfeito aquisição negócio entrega prazo produto bem embalado nota fiscal caixa original garantia manual usuário primeiras impressões relógio perfeito,2
atendeu expectativa,2
bom encomenda chegou certinha,2
mosquiteiro veio dois furos parte superior pedir mosquiteiro king porem nao veio kiung sim queem,0
bom,1
produto chegou rapidamente conforme anunciado,2
produto baixa qualidad,0
produto qualidade preço justo entrega dentro prazo produto atendeu expectativas recomendo vendedor,2
enviado produto errado,0
efetuei compra pagamento duas unidades recebi apenas unidade aguardando tratativa,0
adorei produto chegou antes prazo estipulado satisfeita,2
tudo ok,2
quadro entregue correios chegou madeira atrás quebrada tela quadro danificada afundada chegou avariado produto,1
produto importado veio defeito,0
produto simples bonito,2
gostei agilidade entrega,2
ainda recebi,0
esperava maior pouco,2
produto razoavel envio produto embalagem propria chegou td amassado quase danific,1
produto chegou antes prazo bem embalado fornecedor avarias qualidado produto boa,2
gostaria saber dia correto entrega,1
produtos bon,2
otimo produto,2
bom dia comprei bebedouro vermelho metálico recebi bebedouro rosa obs cachorro macho,0
entregue primeira vez acontec,0
produto demorou mês entregue tempo demais poderia ter chegado antes data limite tudo ok,2
comprei unidades produto veio avariado visto embalagem fraca sendo veio dois buracos fundo panela devido pressão dog colocado cima,0
acho poderia ter comprado cartuchos fiz porque cada cartucho veio frete diferente coisa poderiam colocados único pacote baratearia fret,2
comprei lannister tratar loja confiança porém chegar produto descobri vendido marca targus verdade produto falsificado confio,1
excelente serviço,2
pedido cancelado assim loja enviou produto devolvi produto quero estorno compra cartão crédito,0
comprei jogo panelas panelas panela pressão vermelho panelas tipo oval recebi jogo panelas jogo espátulas pretos coisa pedi veio apenas frideira,0
comprei dia recebi outro mercadoria excelent,2
gostei qualidade enchimento almofada,0
conforme solicitei preciso fazer devolução entregue prazo precisa solicitei aqui entrei contato vendedor aguardo fazer devolução,2
gostaei rapidez entrega,2
quero saber demais produtos iten,0
parabén,2
posso dar opinião sobre produto pois recebi sobre loja recomendo pois atrasa entrega,0
produto chegou prazo perfeitas condiçoes veio embalado forma incrivel bem embalado chegou nenhum arranhao,2
recebi produto,0
comprei dois produtos iguais pagar dois fretes empresa poderia ter colocado única embalagem cobrar apenas frete produto entregue perfeitas condições ótimo produto,2
ótimo produto,2
produto qualidade entrega demorada,1
entrega muita rápida produto ótimo estado,2
gostaria saber produto mudou embalagem pois comprei embalagem vermelha recebi outra embalagem toda florida preciso saber produto,2
lavabo bem bonito igual descrição veio mancha bem pequena nada problema recomendo,2
produto entregue totalmente diferente comprado,0
ótimo tds aspecto,2
ainda aguardando,0
aida nao recebi produto,2
recebi antes data prometida recomendo loja,2
demorou quase trinta dias tempo demai,2
depende possa avaliar resolverem problema pos compra correios entregarão pacote contendo peneu,0
gostei,2
bom,2
boa tarde problemas pedido sim veio mosqueteiro errado pedi tamanho queen arrastasse chão círculo cima bem grande veio pequeno cama casal nor,0
ate agora tudo perfeito produto entrega prazo,2
comprei relógios entregu,0
produto ok recebido dentro prazo bem antes previsto,2
entrega antecipado umas panelas pressão veio suporte quebrado,0
tudo ok,2
ótimo produto recomendo,2
entrega demorada comprei agora recebi produto,0
bom,2
produto chegou conforme anunciado gostei,2
dentro prazo informacoes encaminhamento produto forma clara,2
excelente recomendo,2
produto enteque veio errado,0
recebi produto produto consta enviado correio ribeirão preto correio recebeu produto envie varias mensagem targaryen obtive targaryen sujando nom,0
gostei,2
produto veio especificação calota vendida símbolo citroën calota veio símbolo,0
então conprei gostei nao tudo nao achei melhor,0
loja confiança chegou praso,2
amei produto super fácil manusear lannister parabéns pois chegou bem antes prazo,2
super recomendo produtos lindo,2
pedi duas carteiras veio defeito outra veio errada ñ q pedi pedi reembolso creio correrá bem,0
motor ótimo vem cremalheiras junto,1
gostei produto entrega rápida,2
excelente produto entrega chegou antes prazo previsto ótimo,2
produto chegou antes prazo estabelecido,2
excelente chegou antes combinado parabén,2
gostei produto nao ardencia olhos cheiro alisou fos cabelos acho segunda vez ficara super liso,2
entregou antes prazo estipulado ótimo sempre compro sit,2
apesar ter bom acabamento produto bem funcion,2
entrega perfeita antes prazo produto perfeito estado ótima qualidad,2
aaa,2
ótimo produto,2
veio certinho super rápido amei lustre gent,2
bonito bom chegou rápido,2
recebi apenas detector metal compra unidades podemos resolver aguardo orientaçõ,0
boa noite compra diz wireless mbs multilaser g vim modem g conecta usb nel,0
satisfeito,2
chegou dentro prazo bonito valeu,2
bom recomendo,2
otimi produto entrega excelent,2
legal tudo certo entrega rapida,2
comprei dois pares aliança chegou apenas duas unidades masculinas casa aguardando resposta empresa envio outras duas unidades femeninas cheopu,0
acho deveriam mudar modo entrega pois correios deixam desejar vieram única vez entregar produto domingo tarde mandaram volta pro remetente produto,0
acho deveria enformar rapido onde produto,1
amei,2
recebi desta loja apenas dois pendentes paguei boleto antecipado produto veio trata pendente alumínio meia bola medio escovado valor quero volta,0
vcs tá deixando desejar comprei produtos vcs vcs demora entregar ainda cancela pedido autorização,0
produto entregue antes prazo bom custo benefício,2
recebi outra encomenda dessa loja esperando enviarem duas proteínas kg,0
produto entregue antes prazo aprovado,2
fiz compra dois porém dois código veio comprei colcha chegou certinho veio saia cama box,0
chegou bem antes prazo determinado tudo certinho amei produto super recomendo,2
atendeu expectiva,2
compro confio comprar sempre chegaram prazo antes nunca problemas recomendo,2
rapidez entrega,1
